"recommendation1","recommendation2","recommendation3","challenger"
"Isle of Jura 10 Year","Speyburn","Glenturret","Tomatin","Ardmore"
"Knockando 12 Year","Caol Ila","Ardbeg","GlenScotia","Lagavulin"
"Lagavulin 16 Year","GlenKeith","Strathmill","Glenmorangie","Teaninich"
"Laphroig 12 Year","Laphroig","Clynelish","Ardbeg","Springbank"
"Linkwood 12 Year","Lagavulin","GlenScotia","Clynelish","OldPulteney"
"Loch Lomond","Glenlivet","GlenElgin","ArranIsleOf","Loch Lomond"
"Longmorn 15 Year","Bunnahabhain","Glenlossie","Glenallachie","Linkwood"
"Macallan 10 Year","Speyside","Aultmore","Mannochmore","AnCnoc"
"Mannochmore 12 Year","Glendronach","Auchroisk","Glenrothes","GlenDeveronMacduff"
"Miltonduff 15 Year","Longmorn","Speyside","Aultmore","Tamdhu"
"Mortlach 16 Year","Aultmore","Edradour","Speyside","Strathisla"
"Oban 14 Year","Dailuaine","Balmenach","BlairAthol","GlenDeveronMacduff"
"Fettercairn 12 Year","Ardbeg","Talisker","Clynelish","Laphroig"
"Old Pulteney 12 Year","Isle of Jura","Caol Ila","Oban","Springbank"
"Royal Brackla 10 Year","Glenfiddich","Glenkinchie","Benriach","Loch Lomond"
"Royal Lochnagar 12 Year","Dailuaine","Dalmore","Macallan","GlenDeveronMacduff"
"Scapa 14 Year","Aultmore","Edradour","Speyside","GlenMoray"
"Speyburn 10 Year","Dalwhinnie","Inchgower","Balvenie","Bruichladdich"
"Speyside 12 Year","Aultmore","Longmorn","Scapa","Auchentoshan"
"Springbank 10 Year","Isle of Jura","Talisker","GlenScotia","OldPulteney"
"Strathisla 12 Year","Glengoyne","GlenGrant","Longmorn","Miltonduff"
"Strathmill 12 Year","Glenmorangie","GlenKeith","Tamnavulin","Teaninich"
"Talisker 12 Year","Ardbeg","Clynelish","Oban","OldPulteney"
"Tamdhu 10 Year","Tobermory","AnCnoc","Scapa","Mannochmore"
"Tamnavulin 12 Year","Strathmill","Craigganmore","Glenmorangie","Tullibardine"
"Teaninich 10 Year","Balblair","Glenmorangie","Strathmill","Tullibardine"
"Tobermory 10 Year","Aultmore","Tamdhu","Speyside","GlenGrant"
"Tomatin 12 Year","Highland Park","Glenturret","Speyburn","Bruichladdich"
"Tomintoul 10 Year","Glenlivet","Glenlossie","Glenallachie","GlenGarioch"
"Tormore 12 Year","Balmenach","Auchroisk","Glendronach","Dalmore"
"Tuillibardine 12 Year","GlenKeith","Strathmill","Balblair","Teaninich"
